,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0.0,,,,,,,,,,1.6681500000000002,chase
1,100.0,0.9629629629629629,,,,0.9333333333333333,,0.9333333333333333,,,,chase
2,200.0,0.9423076923076923,,,,0.9230769230769231,,0.8888888888888888,,,,chase
3,300.0,0.926829268292683,0.9230769230769231,1.0,0.9375,,0.8888888888888888,,1.0,1.0,1.6681500000000002,chase
4,400.0,0.8607594936708861,0.8333333333333334,0.8,0.7272727272727273,,0.9,,0.9333333333333333,1.0,,chase
5,500.0,0.9030303030303031,0.9285714285714286,0.75,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.8571428571428571,1.0,1.0,1.6731000000000005,chase
6,600.0,0.8895027624309392,,,1.0,0.8333333333333334,0.9230769230769231,0.7857142857142857,,0.7272727272727273,,chase
7,700.0,0.8333333333333334,,,0.9090909090909091,0.9,0.7777777777777778,0.9166666666666666,,,,chase
8,800.0,0.875,,0.8181818181818182,,0.8333333333333334,0.7777777777777778,,0.9090909090909091,,1.6731000000000005,chase
9,900.0,0.8852459016393442,,0.8571428571428571,,0.9,,,1.0,0.9285714285714286,,chase
10,1000.0,0.9,0.9166666666666666,,0.9166666666666666,,,0.8461538461538461,,,,chase
11,1100.0,0.8198757763975155,0.9333333333333333,,0.9166666666666666,,0.9333333333333333,0.8888888888888888,,,1.34687,chase
12,1200.0,0.7280701754385965,0.8,0.8571428571428571,,0.8333333333333334,1.0,0.9090909090909091,0.6923076923076923,0.5,,chase
13,1300.0,0.9166666666666666,0.8181818181818182,1.0,,0.8181818181818182,0.8181818181818182,0.9333333333333333,0.7142857142857143,0.9230769230769231,,chase
14,1400.0,0.8795180722891566,0.9,0.8333333333333334,0.9230769230769231,0.8571428571428571,0.9166666666666666,,0.896551724137931,0.9090909090909091,1.34687,chase
15,1500.0,0.8043478260869565,,0.7142857142857143,0.9230769230769231,0.8181818181818182,0.9230769230769231,,,1.0,,chase
16,1600.0,0.8311688311688312,,0.9,0.6666666666666666,0.9230769230769231,,1.0,,0.5454545454545454,1.07568,chase
17,1700.0,0.6925925926116879,0.75,0.8181818181818182,,,,,0.7142857142857143,,,chase
18,1800.0,,,,,,,,,,,chase
19,1900.0,,,,,,,0.6086956521739131,,0.2608695652173913,1.07568,chase
20,2000.0,0.386986301369863,0.4782608695652174,,0.5652173913043478,,0.43478260869565216,0.7272727272727273,0.23809523809523808,,,chase
21,2100.0,0.6759776536312849,,,0.7,0.7272727272727273,0.8181818181818182,,0.4,,,chase
22,2200.0,0.6356589147286822,,0.7272727272727273,0.9,0.8,0.8461538461538461,,0.18181818181818182,0.16666666666666666,0.485,chase
23,2300.0,0.6511627906976745,0.8181818181818182,0.8888888888888888,0.6923076923076923,0.8,0.8888888888888888,0.7272727272727273,,0.08333333333333333,,chase
24,2400.0,0.6028708133971292,0.7,0.75,0.8,0.6,,0.9230769230769231,,0.18181818181818182,,chase
25,2500.0,0.6096256684491979,0.7692307692307693,0.9,0.7,0.6666666666666666,,0.8,0.25,0.18181818181818182,0.485,chase
26,2600.0,0.631578947368421,0.8181818181818182,0.8,0.8888888888888888,0.8461538461538461,0.6666666666666666,0.8181818181818182,0.09090909090909091,,,chase
27,2700.0,0.6590909090909091,,0.8,0.75,0.8181818181818182,0.75,0.7,0.2222222222222222,,0.88146,chase
28,2800.0,0.6640625,,0.9230769230769231,0.7,0.625,0.75,0.8461538461538461,0.125,0.25,,chase
29,2900.0,0.7168674698795181,0.9090909090909091,,,0.6363636363636364,0.75,0.875,0.3,0.5454545454545454,,chase
30,3000.0,0.6818181818181818,0.9090909090909091,,,0.8888888888888888,0.6666666666666666,0.7692307692307693,0.5555555555555556,0.3076923076923077,0.88146,chase
31,3100.0,0.7267080745341615,0.75,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.7692307692307693,0.8333333333333334,0.3333333333333333,0.3333333333333333,,chase
32,3200.0,0.7062937062937062,0.9,0.896551724137931,0.7777777777777778,0.8,0.875,,0.4166666666666667,,,chase
33,3300.0,0.7225806451612903,0.8181818181818182,,0.7692307692307693,,0.7272727272727273,,0.3333333333333333,,1.11552,chase
34,3400.0,0.703030303030303,0.8888888888888888,,0.8181818181818182,,0.8333333333333334,0.8888888888888888,0.36363636363636365,0.25,,chase
35,3500.0,0.6783216783216783,0.75,0.75,0.9230769230769231,0.7692307692307693,0.6666666666666666,0.8,0.3333333333333333,0.25,1.11552,chase
36,3600.0,0.7007874015748031,,0.8461538461538461,,0.9,,0.7,0.2,0.2,,chase
37,3700.0,0.7034482758620689,,0.6923076923076923,,0.8888888888888888,,0.8,0.3,0.3333333333333333,,chase
38,3800.0,0.7109515260135227,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.9166666666666666,,0.8181818181818182,0.3333333333333333,,0.9760800000000002,chase
39,3900.0,0.7058823529646834,0.8461538461538461,0.875,0.7692307692307693,0.8333333333333334,,0.7692307692307693,0.5833333333333334,,,chase
40,4000.0,0.6666666666666666,,0.8,0.8461538461538461,0.7777777777777778,0.8333333333333334,0.6363636363636364,,0.46153846153846156,,chase
41,4100.0,0.7058823529411765,,,0.8888888888888888,0.75,0.8333333333333334,,,0.3,0.9760800000000002,chase
42,4200.0,0.7101449275362319,0.8571428571428571,,,0.7333333333333333,0.8333333333333334,,0.3333333333333333,0.4166666666666667,,chase
43,4300.0,0.6835443037974683,0.9230769230769231,0.8666666666666667,,0.7272727272727273,0.6,0.8461538461538461,0.4,0.2222222222222222,0.7834300000000001,chase
44,4400.0,0.7127659574468085,0.7272727272727273,0.8181818181818182,0.8571428571428571,0.8888888888888888,0.6666666666666666,0.9090909090909091,0.4,0.5454545454545454,,chase
45,4500.0,0.7192982456140351,0.8181818181818182,0.8181818181818182,0.9,0.8,0.8,0.75,0.36363636363636365,0.45454545454545453,,chase
46,4600.0,0.6912751677852349,,0.7692307692307693,0.8333333333333334,0.8888888888888888,0.7857142857142857,0.8,0.45454545454545453,,0.7834300000000001,chase
47,4700.0,0.7299270072992701,,0.8888888888888888,0.9,0.8,0.7272727272727273,0.8333333333333334,0.36363636363636365,,,chase
48,4800.0,0.7109004739336493,,0.9090909090909091,0.9166666666666666,0.8333333333333334,0.8,0.8333333333333334,0.4,,,chase
49,4900.0,0.6903225806451613,,0.8181818181818182,0.8333333333333334,,,,0.2222222222222222,,0.54,chase
50,5000.0,0.6434108527131783,0.8333333333333334,0.8181818181818182,0.9,,,,0.4444444444444444,0.18181818181818182,,chase
51,5100.0,0.6474820143884892,0.8888888888888888,0.8888888888888888,0.8181818181818182,,0.8461538461538461,0.8181818181818182,0.1111111111111111,0.2,,chase
52,5200.0,0.6178010471204188,0.75,0.7272727272727273,0.8181818181818182,,0.7692307692307693,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.54,chase
53,5300.0,0.6666666666666666,0.8181818181818182,,0.8888888888888888,0.6363636363636364,0.5,0.7692307692307693,0.2727272727272727,0.2,,chase
54,5400.0,0.6211180124223602,0.875,,,0.6363636363636364,0.8333333333333334,0.8333333333333334,0.38461538461538464,0.1111111111111111,0.535,chase
55,5500.0,0.5885714285714285,0.75,0.6666666666666666,,0.8181818181818182,0.6,0.7272727272727273,,0.15384615384615385,,chase
56,5600.0,0.5763888888888888,0.6,0.7272727272727273,0.7857142857142857,0.7333333333333333,,,,0.08333333333333333,,chase
57,5700.0,0.6433566433566433,0.9,0.8181818181818182,0.6666666666666666,,,,0.0,0.25,0.535,chase
58,5800.0,0.6127167630057804,0.6363636363636364,0.9,0.8181818181818182,,0.8333333333333334,0.8,0.18518518518518517,0.1,,chase
59,5900.0,0.620253164556962,,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727273,0.8181818181818182,0.12,0.1,,chase
60,6000.0,0.6544502617801047,,0.8888888888888888,1.0,0.7333333333333333,0.8181818181818182,0.6666666666666666,0.3333333333333333,0.2,0.51,chase
