time[ms],cpu_load,cpu_scaling_freq
0,,1708.0
100,1.0,1708.0
200,0.8,1708.0
300,,
400,,1708.0
500,,
600,,1708.0
700,0.6875,1708.0
800,,
900,,1708.0
1000,0.8125,1708.0
1100,,
1200,,1708.0
1300,0.8333333333333334,1708.0
1400,0.8181818181818182,1708.0
1500,0.7692307692307693,1708.0
1600,0.7272727272727273,1708.0
1700,,
1800,,1708.0
1900,0.8571428571428571,1708.0
2000,0.6923076923076923,1708.0
2100,,
2200,,1516.0
2300,0.8888888888888888,1708.0
2400,0.7,1708.0
2500,0.7272727272727273,1708.0
2600,0.8181818181818182,1708.0
2700,,
2800,,1708.0
2900,0.7368421052631579,1708.0
3000,0.7272727272727273,1708.0
3100,0.8571428571428571,1708.0
3200,0.9,1708.0
3300,0.6363636363636364,1708.0
3400,0.9090909090909091,1708.0
3500,0.7777777777777778,1708.0
3600,,
3700,,1708.0
3800,,
3900,,1708.0
4000,0.5789473684210527,1708.0
4100,0.9,1708.0
4200,0.6,1708.0
4300,0.6666666666666666,1708.0
4400,0.8,1708.0
4500,0.8333333333333334,1708.0
4600,,
4700,,1708.0
4800,0.8,1708.0
4900,,
5000,,1708.0
5100,,
5200,,1708.0
5300,0.7692307692307693,1708.0
5400,0.6666666666666666,1708.0
5500,0.8888888888888888,1708.0
5600,0.8181818181818182,1708.0
5700,0.8,1708.0
5800,0.8181818181818182,1708.0
5900,0.9230769230769231,1708.0
6000,,
6100,,1708.0
6200,0.8181818181818182,1708.0
6300,0.8181818181818182,1708.0
6400,,
6500,,1708.0
6600,0.7692307692307693,1708.0
6700,0.7692307692307693,1708.0
6800,,
6900,,1612.0
7000,,
7100,,1708.0
7200,0.8461538461538461,1708.0
7300,0.5454545454545454,1708.0
7400,0.9230769230769231,1708.0
7500,0.75,1708.0
7600,0.7777777777777778,1708.0
7700,0.75,1708.0
7800,0.8181818181818182,1708.0
7900,,
8000,,1708.0
