,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.4058,fc
1,100,0.9259259259259259,0.8666666666666667,1.0,,0.9166666666666666,0.9230769230769231,0.8666666666666667,,0.9166666666666666,,fc
2,200,0.9,0.9090909090909091,0.7272727272727273,,0.8333333333333334,0.8,0.9166666666666666,,,,fc
3,300,0.8353658536585366,0.9166666666666666,0.75,0.9285714285714286,0.7857142857142857,,,1.0,,1.4058,fc
4,400,0.9236111111111112,,0.8181818181818182,0.6666666666666666,0.75,,,1.0,1.0,,fc
5,500,0.8131868131868132,,0.75,0.8,,0.75,0.75,0.5714285714285714,0.8,,fc
6,600,0.7616279069767442,0.8,0.625,,,0.75,0.7272727272727273,0.2857142857142857,0.5555555555555556,1.34912,fc
7,700,0.6370967741935484,0.7692307692307693,,,0.9,0.6923076923076923,0.8181818181818182,0.4166666666666667,0.2222222222222222,,fc
8,800,0.7039473684210527,0.8888888888888888,,0.8333333333333334,0.8333333333333334,0.9230769230769231,0.75,0.2857142857142857,0.5,1.34912,fc
9,900,0.7176470588235294,,0.7857142857142857,0.8,0.75,0.9166666666666666,0.8181818181818182,0.3,0.2727272727272727,,fc
10,1000,0.6839080459770115,,0.9090909090909091,0.8,0.6666666666666666,0.5555555555555556,0.625,0.1111111111111111,0.2222222222222222,,fc
11,1100,0.6166666666666667,0.8666666666666667,0.9,0.8571428571428571,0.8888888888888888,,0.7,0.18181818181818182,0.25,0.6673200000000001,fc
12,1200,0.6219512195121951,0.6,0.7272727272727273,0.7,0.6,,0.6923076923076923,0.36363636363636365,0.09090909090909091,,fc
13,1300,0.6133333333333333,0.8571428571428571,0.6153846153846154,0.9,0.625,0.7692307692307693,0.9166666666666666,0.3,,,fc
14,1400,0.6193181818181818,0.875,0.75,0.8333333333333334,0.6363636363636364,0.6363636363636364,0.75,,,0.6673200000000001,fc
15,1500,0.6866666666666666,0.8333333333333334,0.75,,0.875,0.7,0.8333333333333334,,0.25,,fc
16,1600,0.5539568345323741,,0.8333333333333334,,0.6666666666666666,0.6,0.9,0.17647058823529413,0.18181818181818182,0.5039899999999999,fc
17,1700,0.6576576576576577,,0.5454545454545454,0.75,0.6428571428571429,0.6,0.7,,0.1,,fc
18,1800,0.5934065934065934,0.7857142857142857,,0.7,0.7,0.8,0.9,,0.15384615384615385,,fc
19,1900,0.6307692307692307,,,0.75,,,0.8181818181818182,0.23076923076923078,0.2857142857142857,0.5039899999999999,fc
20,2000,0.6054421768707483,,0.5,,,,0.7,0.2727272727272727,0.16666666666666666,,fc
21,2100,0.6022099447513812,0.9090909090909091,0.7777777777777778,,0.5454545454545454,0.8181818181818182,0.875,0.0,,,fc
22,2200,0.6298342541436464,0.8181818181818182,0.8333333333333334,0.7692307692307693,0.6,0.6923076923076923,0.6,0.2,,0.5039899999999999,fc
23,2300,0.5563380281690141,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.5833333333333334,,,0.1111111111111111,0.14285714285714285,,fc
24,2400,0.5859375,0.75,0.8888888888888888,0.8,0.6363636363636364,,,0.23076923076923078,0.08333333333333333,,fc
25,2500,0.5879120879120879,0.8181818181818182,0.7,0.7692307692307693,0.7272727272727273,0.7297297297297297,0.7692307692307693,,0.2,0.5039899999999999,fc
26,2600,0.6242038216560509,0.8,0.8333333333333334,0.75,0.7,,0.9090909090909091,,0.0,,fc
27,2700,0.6412213740458015,0.9,0.8,,0.8,,0.7777777777777778,,0.1,0.47904,fc
28,2800,0.6617647058823529,0.9090909090909091,0.8333333333333334,,0.6666666666666666,0.8,0.8333333333333334,,0.25,,fc
29,2900,0.6428571428571429,,0.9,0.75,0.75,0.5454545454545454,0.8333333333333334,0.16666666666666666,,,fc
30,3000,0.65625,,0.75,0.8181818181818182,,0.6923076923076923,0.9,0.2,,0.47904,fc
31,3100,0.6231884057971014,0.8333333333333334,0.8,0.7,,0.6666666666666666,0.7777777777777778,0.18181818181818182,0.1875,,fc
32,3200,0.6216216216216216,0.7272727272727273,0.8181818181818182,0.8,0.7857142857142857,0.7272727272727273,0.8461538461538461,0.2,0.0,,fc
33,3300,0.6684782608695652,0.8181818181818182,0.5555555555555556,0.8888888888888888,0.8,0.8333333333333334,0.875,0.16666666666666666,0.2,0.4890200000000001,fc
34,3400,0.6211180124223602,0.8,,0.8888888888888888,0.8333333333333334,0.7272727272727273,0.7,0.18181818181818182,0.3333333333333333,,fc
35,3500,0.6417910447761194,0.8571428571428571,,0.8888888888888888,0.8181818181818182,0.7777777777777778,0.9090909090909091,0.36363636363636365,,0.4890200000000001,fc
36,3600,0.6541353383458647,0.8461538461538461,0.7714285714285715,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.75,0.25,,,fc
37,3700,0.6352201257861635,,0.7931034482758621,0.8461538461538461,0.9,,0.8181818181818182,0.09090909090909091,0.16666666666666666,,fc
38,3800,0.6486486486486487,,,0.7777777777777778,0.8888888888888888,,0.7272727272727273,,0.09090909090909091,0.48403,fc
39,3900,0.6433566433566433,0.8181818181818182,,0.8181818181818182,0.7857142857142857,0.75,0.75,,0.16666666666666666,,fc
40,4000,0.5732484076433121,0.7,0.6666666666666666,,0.8181818181818182,0.5833333333333334,0.7,0.21428571428571427,0.23076923076923078,,fc
41,4100,0.6419753086419753,0.7777777777777778,0.8181818181818182,,,0.7,0.75,,0.2222222222222222,0.48403,fc
42,4200,0.6428571428571429,0.8333333333333334,0.6666666666666666,,,0.7272727272727273,0.75,,,,fc
43,4300,0.7484276729559748,,,,,,,,,,fc
44,4400,0.961038961038961,,,0.9523809523809523,,,,,,0.52894,fc
45,4500,0.9886363636363636,0.9230769230769231,0.8461538461538461,0.7272727272727273,0.6666666666666666,1.0,1.0,,,,fc
46,4600,0.7763975155279503,0.9090909090909091,,0.8461538461538461,0.6428571428571429,0.9090909090909091,0.8888888888888888,,0.42857142857142855,0.52894,fc
47,4700,0.5688622754491018,,,0.6,0.7,0.5555555555555556,0.5454545454545454,0.2222222222222222,0.09090909090909091,,fc
48,4800,0.6346153846153846,,0.8666666666666667,0.5555555555555556,,0.6666666666666666,0.6923076923076923,0.2857142857142857,0.125,,fc
49,4900,0.5765124554854423,0.7692307692307693,0.5454545454545454,0.8888888888888888,,0.7333333333333333,0.7272727272727273,0.3,0.2222222222222222,0.47904,fc
50,5000,0.6023166023512556,0.8461538461538461,0.8461538461538461,0.7272727272727273,0.7272727272727273,,,0.08333333333333333,0.25,,fc
51,5100,0.678082191780822,0.7777777777777778,0.8181818181818182,0.7,0.7,,,0.1111111111111111,0.0,,fc
52,5200,0.6111111111111112,0.8571428571428571,0.8,0.6,0.6153846153846154,0.5384615384615384,0.9166666666666666,0.3,0.09090909090909091,0.47904,fc
53,5300,0.563953488372093,0.8181818181818182,0.6666666666666666,,0.8461538461538461,0.6666666666666666,0.7692307692307693,0.1111111111111111,0.21428571428571427,,fc
54,5400,0.59375,0.9090909090909091,0.8888888888888888,,0.75,0.8,0.7272727272727273,0.4,,,fc
55,5500,0.6486486486486487,,0.6666666666666666,0.6923076923076923,,0.5,0.8461538461538461,,,0.53393,fc
56,5600,0.5953757225433526,,,0.8181818181818182,,0.5,0.8181818181818182,,0.0,,fc
57,5700,0.5952380952380952,0.8181818181818182,,0.5454545454545454,0.8,0.75,0.6666666666666666,0.09090909090909091,0.0,0.53393,fc
58,5800,0.6296296296296297,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.5555555555555556,,0.38461538461538464,0.2,,fc
59,5900,0.5757575757575758,0.8571428571428571,0.7,0.5714285714285714,0.7692307692307693,0.6363636363636364,,0.1111111111111111,0.3333333333333333,,fc
60,6000,0.6275862068965518,0.8333333333333334,0.8333333333333334,,0.6666666666666666,0.6363636363636364,0.75,,0.1,0.52395,fc
61,6100,0.6073619631901841,0.7777777777777778,0.8333333333333334,,0.7272727272727273,0.8,0.8888888888888888,,0.23076923076923078,,fc
62,6200,0.6024844720496895,,0.7692307692307693,0.7272727272727273,0.6,0.6923076923076923,0.7272727272727273,0.08333333333333333,,,fc
63,6300,0.6068965517241379,,0.8181818181818182,0.8,0.8,0.8,1.0,0.09090909090909091,,0.52395,fc
64,6400,0.63,0.8461538461538461,0.8,0.8333333333333334,0.7,,0.7272727272727273,0.125,0.06896551724137931,,fc
65,6500,0.6466165413533834,0.9090909090909091,0.8181818181818182,0.6363636363636364,0.8333333333333334,,0.9,0.3333333333333333,,,fc
66,6600,0.6216216216216216,0.7272727272727273,0.7142857142857143,0.7,0.8,0.7,0.7,0.16666666666666666,,0.4940100000000001,fc
67,6700,0.6,0.7777777777777778,,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.7692307692307693,0.125,0.09090909090909091,,fc
68,6800,0.6,0.6428571428571429,,0.7777777777777778,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.18181818181818182,0.3076923076923077,0.4940100000000001,fc
69,6900,0.59375,0.7692307692307693,0.6923076923076923,0.6666666666666666,,0.6923076923076923,0.8888888888888888,0.36363636363636365,0.0,,fc
70,7000,0.6224489795918368,,0.9090909090909091,0.9090909090909091,,0.7777777777777778,,0.0,0.23076923076923078,,fc
71,7100,0.65,,0.6,,,0.7,,0.2222222222222222,0.25,0.47904,fc
72,7200,0.5693430656934306,0.7,0.6666666666666666,,,0.7272727272727273,0.8666666666666667,0.2727272727272727,,,fc
73,7300,0.6432432432432432,0.8461538461538461,0.8461538461538461,0.8181818181818182,0.7333333333333333,0.5,0.875,0.09090909090909091,,0.47904,fc
74,7400,0.6022099447513812,0.8461538461538461,0.7692307692307693,0.75,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.2,0.0,,fc
75,7500,0.6171428571428571,0.7272727272727273,0.8181818181818182,0.7857142857142857,0.6363636363636364,0.7,0.9166666666666666,0.2222222222222222,0.1,,fc
76,7600,0.6303030303030303,0.8181818181818182,1.0,0.9,0.8,0.6363636363636364,0.7857142857142857,,0.25,0.5189600000000001,fc
77,7700,0.63125,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.6,0.7,0.7,,0.18181818181818182,,fc
78,7800,0.6239316239316239,0.6666666666666666,0.875,,0.75,0.6363636363636364,0.8888888888888888,0.18181818181818182,0.1,,fc
79,7900,0.6174496644295302,,0.9230769230769231,,0.6666666666666666,,0.8,0.125,0.23076923076923078,0.5189600000000001,fc
80,8000,0.6449704142011834,,0.8181818181818182,,,,0.7777777777777778,,0.0,,fc
