,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9342105263157895,,,0.9166666666666666,,0.9333333333333333,,,
2,200,0.9516129032258065,,,1.0,,,,,
3,300,0.9519230769230769,,0.9230769230769231,0.9166666666666666,1.0,,,,1.0
4,400,0.9285714285714286,,0.9,,0.8571428571428571,0.9285714285714286,,0.9444444444444444,1.0
5,500,0.9064748201438849,0.9285714285714286,0.9090909090909091,,,0.7857142857142857,0.8461538461538461,1.0,1.0
6,600,0.8804347826086957,0.8181818181818182,,0.7857142857142857,,,0.9166666666666666,1.0,
7,700,0.9271523178807947,,,,,,,,
8,800,,,,,,,,,
9,900,,,,,,,,,
10,1000,,,0.42105263157894735,,,0.34285714285714286,,,0.6944444444444444
11,1100,0.5135135135135135,,,,0.46511627906976744,0.8,,0.7368421052631579,
12,1200,,0.8666666666666667,,0.75,0.9,0.9090909090909091,0.8125,,
13,1300,,,0.8,0.9285714285714286,,0.8181818181818182,,,0.9285714285714286
14,1400,0.8557692307692307,,0.45454545454545453,,,0.75,,0.9411764705882353,0.8888888888888888
15,1500,0.8028169014084507,0.6666666666666666,,,0.9166666666666666,0.7692307692307693,0.9090909090909091,0.9166666666666666,1.0
16,1600,0.8333333333333334,0.6363636363636364,,0.8333333333333334,0.7272727272727273,,0.9090909090909091,0.8461538461538461,0.9166666666666666
17,1700,0.7686567164179104,0.75,0.75,0.7142857142857143,0.7272727272727273,,0.8,0.6666666666666666,0.75
18,1800,0.7201834862385321,0.8888888888888888,0.75,0.8333333333333334,0.9,0.7142857142857143,1.0,0.0,0.1111111111111111
19,1900,0.643312101910828,0.75,0.9230769230769231,0.5,0.8181818181818182,0.6923076923076923,0.7272727272727273,0.1111111111111111,0.36363636363636365
20,2000,0.6459627329192547,0.8181818181818182,,0.8125,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.4,0.1
21,2100,0.6416666666666667,,,0.6666666666666666,,0.8888888888888888,0.7,,0.375
22,2200,0.6027397260273972,,,,,0.9166666666666666,0.75,,0.18181818181818182
23,2300,0.625,0.8461538461538461,,,0.8,0.8181818181818182,,0.16666666666666666,0.2
24,2400,0.6342857142857142,0.8571428571428571,0.8181818181818182,0.7692307692307693,0.75,0.75,,0.2,0.45454545454545453
25,2500,0.6689655172413793,0.875,0.6666666666666666,0.7,,,0.8181818181818182,0.4,0.2
26,2600,0.5892857142857143,0.6923076923076923,0.75,0.6923076923076923,,,0.75,0.1,0.1111111111111111
27,2700,0.6280487804878049,0.7777777777777778,0.8571428571428571,0.75,0.75,0.8709677419354839,0.9166666666666666,0.3,0.1111111111111111
28,2800,0.6594202898550725,0.9,0.8,,0.75,,,0.16666666666666666,
29,2900,0.65,,,,,,,,
30,3000,0.55,,,,,,,,
31,3100,0.6037735849056604,,,0.34615384615384615,,,,,
32,3200,0.21323529411764705,0.5,0.36,0.9090909090909091,,0.38095238095238093,0.375,,
33,3300,0.6666666666666666,0.9090909090909091,0.75,0.8181818181818182,0.8571428571428571,0.7777777777777778,0.75,0.36363636363636365,0.18181818181818182
34,3400,0.6510416666666666,,0.8181818181818182,,0.8,0.8181818181818182,0.75,0.1,0.18181818181818182
35,3500,0.6413793103448275,,0.75,,0.8181818181818182,0.7857142857142857,0.75,0.09090909090909091,0.125
36,3600,0.5968992248062015,0.9166666666666666,,0.5454545454545454,,,,0.2222222222222222,0.25
37,3700,0.6373626373626373,0.8,,0.9,,,,0.2,0.2222222222222222
38,3800,0.6647398843930635,0.7692307692307693,0.7,0.6363636363636364,0.696969696969697,0.8181818181818182,0.9230769230769231,0.3333333333333333,0.125
39,3900,0.6644736842105263,0.9230769230769231,0.9090909090909091,0.9230769230769231,,0.75,0.7777777777777778,0.2222222222222222,0.18181818181818182
40,4000,0.6666666666666666,0.9,0.8,0.7777777777777778,,0.6363636363636364,0.8709677419354839,0.2727272727272727,0.16666666666666666
41,4100,0.6685714285714286,,0.8181818181818182,0.8888888888888888,0.9230769230769231,,,0.3333333333333333,
42,4200,0.6730769230769231,,0.6363636363636364,0.9,0.6666666666666666,,,0.4166666666666667,
43,4300,0.7006369426751592,0.9166666666666666,0.9166666666666666,0.8,0.9090909090909091,0.7857142857142857,0.8181818181818182,0.4444444444444444,
44,4400,0.7263681592039801,0.7777777777777778,0.6,0.7,0.8,0.8,0.6923076923076923,,
45,4500,0.6,0.6363636363636364,,0.6923076923076923,0.7272727272727273,0.8333333333333334,0.8571428571428571,,0.2727272727272727
46,4600,0.6645161290322581,0.8888888888888888,,0.8181818181818182,0.75,0.8333333333333334,0.8888888888888888,0.15384615384615385,0.3
47,4700,0.6595744680851063,0.8181818181818182,0.75,0.7272727272727273,0.7272727272727273,0.7692307692307693,1.0,0.3076923076923077,0.18181818181818182
48,4800,0.6496815286624203,0.8,0.7777777777777778,0.8181818181818182,0.875,0.9,0.8461538461538461,0.36363636363636365,0.2727272727272727
49,4900,0.68,0.9090909090909091,0.6363636363636364,0.75,0.6666666666666666,0.7777777777777778,,0.2727272727272727,0.2222222222222222
50,5000,0.6524822695035462,0.8,0.9,0.8,,,,,0.4
51,5100,0.6546762589928058,0.9,0.9,,,,0.8181818181818182,,0.1111111111111111
52,5200,0.6243654822335025,0.8181818181818182,0.8333333333333334,,0.5,0.78125,0.8181818181818182,0.16666666666666666,0.3076923076923077
