,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.44045,wellsfargo
1,100,0.9772727272727273,,,,,,,,0.8571428571428571,,wellsfargo
2,200,0.9661016949152542,,,,,,,,1.0,,wellsfargo
3,300,0.7525773195876289,0.6153846153846154,0.8666666666666667,0.75,0.8421052631578947,0.9230769230769231,0.9166666666666666,1.0,,1.44045,wellsfargo
4,400,0.8827160493827161,0.9166666666666666,0.9,0.8,0.8461538461538461,0.8461538461538461,0.8181818181818182,1.0,,,wellsfargo
5,500,0.8698224852071006,0.6666666666666666,0.5454545454545454,0.8181818181818182,0.8333333333333334,0.8,0.6363636363636364,1.0,1.0,1.00394,wellsfargo
6,600,0.8291457286432161,0.9,0.9,0.9,0.7777777777777778,0.7272727272727273,0.7,0.5,0.7142857142857143,,wellsfargo
7,700,0.7898550724637681,0.9,0.8181818181818182,0.8461538461538461,,0.9090909090909091,0.9090909090909091,0.15384615384615385,0.4,,wellsfargo
8,800,0.7445255474452555,,0.8333333333333334,0.7777777777777778,,0.75,0.7272727272727273,,0.5,1.00394,wellsfargo
9,900,0.6900584795321637,,0.7777777777777778,0.9090909090909091,0.8181818181818182,,0.7692307692307693,,0.4444444444444444,,wellsfargo
10,1000,0.725609756097561,0.9090909090909091,,0.875,0.8333333333333334,,,,0.45454545454545453,,wellsfargo
11,1100,0.6928571428571428,0.8461538461538461,,,,0.8,,,0.9090909090909091,1.1656,wellsfargo
12,1200,0.7692307692307693,0.75,0.5882352941176471,,,,0.7058823529411765,0.8571428571428571,0.8571428571428571,,wellsfargo
13,1300,0.7039106145251397,0.6428571428571429,0.9166666666666666,0.625,0.65,,1.0,0.9090909090909091,0.8181818181818182,,wellsfargo
14,1400,0.7522935779816514,,0.7272727272727273,0.6363636363636364,,0.9,,,,1.1656,wellsfargo
15,1500,0.8346456692913385,,,,,0.9230769230769231,,,,,wellsfargo
16,1600,0.8688524590163934,0.8461538461538461,,,0.8666666666666667,0.9285714285714286,0.9166666666666666,1.0,1.0,1.44045,wellsfargo
17,1700,0.8967391304347826,0.7777777777777778,0.9285714285714286,0.8461538461538461,0.7692307692307693,,0.9285714285714286,1.0,,,wellsfargo
18,1800,0.9476190476190476,,,,,,,,,,wellsfargo
19,1900,0.8513513513513513,,,,,0.8666666666666667,,,1.0,1.44045,wellsfargo
20,2000,0.9324324324324325,,0.8,,0.8823529411764706,,0.9230769230769231,0.9285714285714286,,,wellsfargo
21,2100,0.9166666666666666,,0.8,,0.9090909090909091,,,,,,wellsfargo
22,2200,0.8881987577639752,0.8571428571428571,,0.9411764705882353,,,,,,1.3662,wellsfargo
23,2300,0.8959537572254336,,,0.5833333333333334,,,0.6666666666666666,,,,wellsfargo
24,2400,0.6836734693877551,,0.8,,0.7333333333333333,0.9285714285714286,0.7777777777777778,,0.9166666666666666,1.3662,wellsfargo
25,2500,0.8854961832061069,,0.9090909090909091,,0.8666666666666667,0.9333333333333333,,0.7142857142857143,0.8461538461538461,,wellsfargo
26,2600,0.8201438848920863,,0.8333333333333334,0.9090909090909091,,0.75,,0.7,0.7,,wellsfargo
27,2700,0.8819875776397516,0.9333333333333333,0.9,0.8461538461538461,,,0.8571428571428571,0.9230769230769231,,1.13088,wellsfargo
28,2800,0.8553459119496856,,,,0.9166666666666666,,0.8,0.8333333333333334,,,wellsfargo
29,2900,0.8466257668711656,,,,0.875,0.8571428571428571,,0.9230769230769231,0.9285714285714286,,wellsfargo
30,3000,0.8538011695906432,0.9375,0.8571428571428571,0.9444444444444444,0.8461538461538461,0.9,,0.5,0.875,1.13088,wellsfargo
31,3100,0.9135802469135802,0.9166666666666666,0.8,0.9090909090909091,,0.7272727272727273,0.8461538461538461,,0.45454545454545453,,wellsfargo
32,3200,0.7278911564625851,0.8461538461538461,,,,,,,,,wellsfargo
33,3300,0.727810650887574,,,,,,,0.4375,,1.03873,wellsfargo
34,3400,0.8076923076923077,,0.7777777777777778,,,0.6875,0.5555555555555556,0.1111111111111111,0.38095238095238093,,wellsfargo
35,3500,0.5633802816901409,0.9285714285714286,0.8181818181818182,,0.6,0.7272727272727273,0.9,,0.36363636363636365,1.03873,wellsfargo
36,3600,0.6089385474860335,0.8888888888888888,0.9090909090909091,0.7142857142857143,0.8888888888888888,0.8,0.9090909090909091,,,,wellsfargo
37,3700,0.7365591397849462,,0.8181818181818182,0.8461538461538461,,0.8,0.6666666666666666,0.3076923076923077,,,wellsfargo
38,3800,0.7484276729559748,,,0.8888888888888888,,,0.9,0.4444444444444444,0.3,0.8067600000000001,wellsfargo
39,3900,0.7155172413793104,0.8,,1.0,0.8378378378378378,,0.7857142857142857,0.5,0.6,,wellsfargo
40,4000,0.782051282051282,0.8333333333333334,0.875,0.7692307692307693,,0.9,0.9,0.7272727272727273,0.7692307692307693,,wellsfargo
41,4100,0.8,0.8571428571428571,,,,0.8,,,0.75,0.8067600000000001,wellsfargo
42,4200,0.8266666666666667,,,,0.7857142857142857,0.8181818181818182,,,,,wellsfargo
43,4300,0.7454545454545455,,,0.8333333333333334,0.6666666666666666,,0.8333333333333334,0.6666666666666666,,1.13088,wellsfargo
44,4400,0.8409090909090909,0.8888888888888888,,0.7058823529411765,,,0.5555555555555556,0.35714285714285715,0.5882352941176471,,wellsfargo
45,4500,0.6915887850467289,0.8666666666666667,0.8,,,0.8,0.8888888888888888,,0.4444444444444444,,wellsfargo
46,4600,0.7254901960784313,0.8888888888888888,0.9090909090909091,,0.7,0.7857142857142857,0.875,,0.5,1.13088,wellsfargo
47,4700,0.7210884353741497,0.8461538461538461,0.8461538461538461,0.9090909090909091,0.9230769230769231,0.8461538461538461,0.8333333333333334,0.5,,,wellsfargo
48,4800,0.718562874251497,,,0.8,0.9,0.7,0.8,0.46153846153846156,,,wellsfargo
49,4900,0.8113207547169812,,,0.9,,0.8888888888888888,0.8333333333333334,0.3333333333333333,0.36363636363636365,1.07352,wellsfargo
50,5000,0.7430167597765364,0.8333333333333334,0.9090909090909091,0.8,,,0.9090909090909091,0.5833333333333334,0.5833333333333334,,wellsfargo
51,5100,0.7772277227722773,0.9166666666666666,0.8,1.0,0.8333333333333334,,,0.125,0.45454545454545453,,wellsfargo
52,5200,0.7692307692307693,0.8181818181818182,1.0,0.8666666666666667,0.7777777777777778,0.9166666666666666,,0.3333333333333333,0.375,1.07352,wellsfargo
53,5300,0.7253521126760564,0.9090909090909091,0.9,0.9,0.8666666666666667,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.6470588235294118,,wellsfargo
54,5400,0.7554347826086957,0.9285714285714286,0.8461538461538461,,0.8,0.8,0.8333333333333334,0.3333333333333333,,0.8896299999999999,wellsfargo
55,5500,0.8170731707317073,,,,,0.9,0.8,0.4166666666666667,,,wellsfargo
56,5600,0.7329192546583851,,,,,0.8,0.8181818181818182,,0.5454545454545454,,wellsfargo
57,5700,0.7305389221556886,0.9166666666666666,0.8571428571428571,,0.8333333333333334,0.8333333333333334,0.75,,0.4,0.8896299999999999,wellsfargo
58,5800,0.7321428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,1.0,0.75,0.6666666666666666,0.3333333333333333,0.6,,wellsfargo
59,5900,0.7153846153846154,0.9090909090909091,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8,0.9,0.125,0.4,,wellsfargo
60,6000,0.7536231884057971,0.9090909090909091,0.9166666666666666,1.0,0.9090909090909091,,1.0,0.2,0.4444444444444444,0.8995700000000001,wellsfargo
61,6100,0.7391304347826086,,,0.9166666666666666,0.8333333333333334,,,0.2727272727272727,0.46153846153846156,,wellsfargo
62,6200,0.7159763313609467,,,0.7,0.8,0.8,,0.3,,0.8995700000000001,wellsfargo
63,6300,0.6645161290322581,0.8461538461538461,0.9,0.75,0.7272727272727273,,0.8461538461538461,,,,wellsfargo
64,6400,0.6884057971014492,,0.625,,,,0.6842105263157895,,,,wellsfargo
65,6500,0.7416666666666667,,0.7777777777777778,,,0.5555555555555556,0.75,0.2857142857142857,,1.07849,wellsfargo
66,6600,0.5299145299145299,0.7647058823529411,0.875,0.6875,0.625,0.7,0.8181818181818182,0.2222222222222222,0.5454545454545454,,wellsfargo
67,6700,0.7007874015748031,0.9090909090909091,0.9090909090909091,0.8,0.7272727272727273,0.9,0.9,0.2,0.4444444444444444,,wellsfargo
68,6800,0.7345679012345679,0.8571428571428571,,0.9166666666666666,0.8181818181818182,0.7,,,0.4,1.07849,wellsfargo
69,6900,0.7177914110429447,0.875,,0.8461538461538461,0.8,0.7857142857142857,,,0.3333333333333333,,wellsfargo
70,7000,0.6785714285714286,0.8,0.8,0.8888888888888888,,,0.9166666666666666,0.2,0.5,0.6872400000000001,wellsfargo
71,7100,0.7164179104477612,0.7777777777777778,0.7777777777777778,0.9166666666666666,,,0.75,0.2857142857142857,,,wellsfargo
72,7200,0.7263157894736842,,0.9230769230769231,,,0.8181818181818182,1.0,0.3125,,,wellsfargo
73,7300,0.7109826589595376,,0.6666666666666666,,,0.8461538461538461,0.8181818181818182,0.3,0.5,0.6872400000000001,wellsfargo
74,7400,0.7319587628865979,0.9090909090909091,,0.8181818181818182,0.75,,0.7142857142857143,,0.4166666666666667,,wellsfargo
75,7500,0.6833333333333333,0.8181818181818182,,,,,,,,,wellsfargo
76,7600,0.6105263157894737,0.7647058823529411,0.9,,,0.8,,0.2222222222222222,,0.6175200000000001,wellsfargo
77,7700,0.6079295154185022,0.9,0.8666666666666667,0.8,0.5882352941176471,0.7272727272727273,0.6923076923076923,0.0,0.3333333333333333,,wellsfargo
78,7800,0.7130434782608696,,0.9230769230769231,0.8666666666666667,0.8,0.8,0.8,0.23076923076923078,0.45454545454545453,,wellsfargo
79,7900,0.6866666666666666,,0.9090909090909091,0.75,0.8461538461538461,0.8,0.8181818181818182,0.3,0.36363636363636365,0.6175200000000001,wellsfargo
80,8000,0.7150259067357513,0.9230769230769231,,0.8888888888888888,0.8,,,,,,wellsfargo
