,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.6681500000000002,bing
1,100,0.9454545454545454,,0.9473684210526315,1.0,,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,,bing
2,200,0.9060773480662984,,0.6666666666666666,0.8666666666666667,,0.6666666666666666,0.6666666666666666,0.8181818181818182,1.0,,bing
3,300,0.7546296296296297,0.8,0.875,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.9,1.0,1.6566400000000001,bing
4,400,0.785234899328859,,,,0.7333333333333333,,,,,,bing
5,500,0.45689655172413796,,,,,,,,,,bing
6,600,0.7709923664122137,0.3684210526315789,0.55,0.38095238095238093,,0.8461538461538461,0.9166666666666666,0.5135135135135135,0.8888888888888888,1.6566400000000001,bing
7,700,0.6694214876033058,,0.7,0.6666666666666666,0.7272727272727273,0.5,0.9166666666666666,,0.4444444444444444,,bing
8,800,0.6338028169014085,,0.8571428571428571,0.6153846153846154,0.7272727272727273,0.75,,,0.36363636363636365,,bing
9,900,0.7840909090909091,0.9285714285714286,,0.8181818181818182,0.8,,,0.8,0.9090909090909091,1.33196,bing
10,1000,0.9620253164556962,0.8571428571428571,,,0.9090909090909091,,0.9166666666666666,0.9285714285714286,0.9230769230769231,,bing
11,1100,0.9342105263157895,,0.7857142857142857,,,0.9166666666666666,0.9230769230769231,0.6363636363636364,,1.33196,bing
12,1200,0.7636363636363637,,0.8461538461538461,0.9090909090909091,,1.0,0.7692307692307693,,,,bing
13,1300,0.7586206896551724,0.8461538461538461,0.9,0.9166666666666666,0.6,0.7,0.8,,0.46153846153846156,,bing
14,1400,0.78,0.8571428571428571,,,0.8571428571428571,,,0.75,,1.0956,bing
15,1500,0.8939393939393939,,,,,,,0.5555555555555556,,,bing
16,1600,0.7254901960784313,,0.5789473684210527,0.5555555555555556,,,,,0.3888888888888889,,bing
17,1700,0.5201342281879194,,0.7272727272727273,0.75,0.6363636363636364,,,,0.5,1.0956,bing
18,1800,0.6985294117647058,,0.7777777777777778,0.8,,0.6666666666666666,0.7272727272727273,0.5,0.375,,bing
19,1900,0.6388888888888888,0.7272727272727273,0.6666666666666666,0.8333333333333334,,,0.7857142857142857,0.38461538461538464,0.3333333333333333,0.6287400000000001,bing
20,2000,0.6575342465753424,0.7777777777777778,0.8888888888888888,0.9166666666666666,0.7857142857142857,,0.9090909090909091,0.25,0.1111111111111111,,bing
21,2100,0.6490066225165563,0.8,0.875,,0.6153846153846154,0.9090909090909091,,0.3,0.16666666666666666,,bing
22,2200,0.6467391304347826,1.0,0.8181818181818182,,0.7777777777777778,0.5833333333333334,,0.5,0.25,0.6287400000000001,bing
23,2300,0.6836158192090396,0.7142857142857143,0.9166666666666666,,0.75,0.7272727272727273,0.8461538461538461,,0.0,,bing
24,2400,0.6025641025641025,0.7857142857142857,,,0.6153846153846154,0.8888888888888888,0.8333333333333334,,,,bing
25,2500,0.6170212765957447,0.7272727272727273,,0.6153846153846154,,,,0.16666666666666666,,0.48,bing
26,2600,0.49230769230769234,0.5714285714285714,,,,,,,,,bing
27,2700,0.34615384615384615,,,,,0.42105263157894735,0.5333333333333333,,,0.48,bing
28,2800,0.6578947368421053,,0.8461538461538461,0.9,,0.75,0.8181818181818182,0.2,0.08333333333333333,,bing
29,2900,0.6496815286624203,0.8,0.8181818181818182,0.9090909090909091,0.7,0.7692307692307693,,0.1,0.09090909090909091,,bing
30,3000,0.6390977443609023,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.625,,0.2222222222222222,0.2727272727272727,0.54,bing
31,3100,0.6623376623376623,0.7272727272727273,0.8181818181818182,0.7777777777777778,0.8275862068965517,0.9,0.8461538461538461,0.16666666666666666,0.0,,bing
32,3200,0.6410256410256411,,0.75,0.8333333333333334,,0.6363636363636364,0.7272727272727273,0.36363636363636365,,,bing
33,3300,0.6312056737588653,,,0.7272727272727273,,0.6363636363636364,0.8,0.1111111111111111,,0.54,bing
34,3400,0.5821917808219178,0.8333333333333334,,0.7,0.6923076923076923,0.6363636363636364,0.8,,0.08333333333333333,,bing
35,3500,0.625,0.8,0.9166666666666666,0.8,0.8,,0.7692307692307693,,0.18181818181818182,,bing
36,3600,0.5987654320987654,,,,0.8181818181818182,,,,,0.515,bing
37,3700,0.625,,,,,,,,,,bing
38,3800,0.33088235294117646,0.5,0.45454545454545453,0.6,,,0.5714285714285714,0.17391304347826086,0.1,0.515,bing
39,3900,0.6099290780141844,,0.6666666666666666,,0.35,0.7,,0.25,0.3076923076923077,,bing
40,4000,0.6153846153846154,,,,0.7272727272727273,0.7142857142857143,,0.2222222222222222,0.3333333333333333,,bing
41,4100,0.6506849315068494,0.7692307692307693,,0.6923076923076923,0.7777777777777778,0.6,0.75,0.2222222222222222,0.2222222222222222,0.47,bing
42,4200,0.6217948717948718,0.7692307692307693,0.8571428571428571,0.8888888888888888,0.6,0.8888888888888888,0.7857142857142857,0.2,0.0,,bing
43,4300,0.635036496350365,0.8181818181818182,0.8461538461538461,0.7777777777777778,0.8333333333333334,,0.8461538461538461,0.2,,,bing
