time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1996.0
100,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1996.0
200,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1996.0
300,,,,,,,,,
400,,,,,,,,,1996.0
500,7.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1996.0
600,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1996.0
700,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1996.0
800,,,,,,,,,
900,,,,,,,,,1996.0
1000,,,,,,,,,
1100,,,,,,,,,825.0
1200,4.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1996.0
1300,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1843.0
1400,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1747.0
1500,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1747.0
1600,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1747.0
1700,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1747.0
1800,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1996.0
1900,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1132.0
2000,,,,,,,,,
2100,,,,,,,,,1996.0
2200,2.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1363.0
2300,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1536.0
2400,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1996.0
2500,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1996.0
2600,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1747.0
2700,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1747.0
2800,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1747.0
2900,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1996.0
3000,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1536.0
3100,,,,,,,,,
3200,,,,,,,,,825.0
3300,1.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,1536.0
3400,,,,,,,,,
3500,,,,,,,,,1363.0
3600,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1996.0
3700,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1363.0
3800,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1996.0
3900,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1996.0
4000,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1996.0
4100,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1363.0
4200,,,,,,,,,
4300,,,,,,,,,1996.0
4400,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,1536.0
4500,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1843.0
4600,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1996.0
4700,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,825.0
4800,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1363.0
4900,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1996.0
5000,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1747.0
5100,,,,,,,,,
5200,,,,,,,,,1996.0
5300,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
5400,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1363.0
5500,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,825.0
5600,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1843.0
5700,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1996.0
5800,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1996.0
5900,2.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,1536.0
6000,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1996.0
6100,,,,,,,,,
6200,,,,,,,,,1996.0
6300,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,825.0
6400,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1747.0
6500,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
6600,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1996.0
6700,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1363.0
6800,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1747.0
6900,,,,,,,,,
7000,,,,,,,,,1363.0
7100,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1843.0
7200,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1996.0
7300,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1747.0
7400,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1996.0
7500,1.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1536.0
7600,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,825.0
7700,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,979.0
7800,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1996.0
7900,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1747.0
